Exp No,Lane 1,Lane 2,Lane 3,Lane 4,Total,Manual
1,128,132,33,33,326,270
2,116,136,31,29,312,257
3,142,92,30,26,290,255
4,125,118,34,27,304,280
5,126,140,40,21,327,255
6,132,123,25,31,311,240
7,126,121,32,36,315,260
8,121,118,27,32,298,255
9,126,124,34,28,312,257
10,125,123,33,27,308,261
11,132,103,25,30,290,269
12,131,102,24,29,296,269
